timestamp,emg_value,rms,finger,position
0,10,1.0,1,1
1,11,1.1,1,1
2,12,1.2,1,1
3,13,1.3,1,1
4,14,1.4,1,1
5,15,1.5,1,1
6,16,1.6,1,1
7,17,1.7,1,1
8,18,1.8,1,1
9,19,1.9,1,1
10,20,1.0,1,1
11,21,1.1,1,1
12,22,1.2,1,1
13,23,1.3,1,1
14,24,1.4,1,1
15,25,1.5,1,1
16,26,1.6,1,1
17,27,1.7,1,1
18,28,1.8,1,1
19,29,1.9,1,1
20,30,1.0,1,1
21,31,1.1,1,1
22,32,1.2,1,1
23,33,1.3,1,1
24,34,1.4,1,1
25,35,1.5,1,1
26,36,1.6,1,1
27,37,1.7,1,1
28,38,1.8,1,1
29,39,1.9,1,1
30,40,1.0,1,1
31,41,1.1,1,1
32,42,1.2,1,1
33,43,1.3,1,1
34,44,1.4,1,1
35,45,1.5,1,1
36,46,1.6,1,1
37,47,1.7,1,1
38,48,1.8,1,1
39,49,1.9,1,1
40,50,1.0,1,1
41,51,1.1,1,1
42,52,1.2,1,1
43,53,1.3,1,1
44,54,1.4,1,1
45,55,1.5,1,1
46,56,1.6,1,1
47,57,1.7,1,1
48,58,1.8,1,1
49,59,1.9,1,1
BREAK
timestamp,emg_value,rms,finger,position
0,30,2.0,2,2
1,31,2.1,2,2
2,32,2.2,2,2
3,33,2.3,2,2
4,34,2.4,2,2
5,35,2.5,2,2
6,36,2.6,2,2
7,37,2.7,2,2
8,38,2.8,2,2
9,39,2.9,2,2
10,40,2.0,2,2
11,41,2.1,2,2
12,42,2.2,2,2
13,43,2.3,2,2
14,44,2.4,2,2
15,45,2.5,2,2
16,46,2.6,2,2
17,47,2.7,2,2
18,48,2.8,2,2
19,49,2.9,2,2
20,50,2.0,2,2
21,51,2.1,2,2
22,52,2.2,2,2
23,53,2.3,2,2
24,54,2.4,2,2
25,55,2.5,2,2
26,56,2.6,2,2
27,57,2.7,2,2
28,58,2.8,2,2
29,59,2.9,2,2
30,60,2.0,2,2
31,61,2.1,2,2
32,62,2.2,2,2
33,63,2.3,2,2
34,64,2.4,2,2
35,65,2.5,2,2
36,66,2.6,2,2
37,67,2.7,2,2
38,68,2.8,2,2
39,69,2.9,2,2
40,70,2.0,2,2
41,71,2.1,2,2
42,72,2.2,2,2
43,73,2.3,2,2
44,74,2.4,2,2
45,75,2.5,2,2
46,76,2.6,2,2
47,77,2.7,2,2
48,78,2.8,2,2
49,79,2.9,2,2
